sample	genome	decoil	chr	start	end	circ_id	fragment_id	strand	coverage	estimated_proportions
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	58	185	-	834	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15891112	58	325.329.333.337.341.345	+	972	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6802127	6896022	58	237	+	798	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15964255	15967411	58	401	+	2178	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	58	205.209.213.217.221.225.229	+	1251	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15642668	58	261.265.269	+	1037	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	16000298	58	409.405.401.397.389.385.381.377.373.369.365.361.357	-	1670	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15793694	58	325.321.317	-	1930	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15767040	15772296	58	309.305	-	1724	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16093241	16123711	58	449.453.457	+	755	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	58	193	+	830	225
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	95	169	+	808	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15766296	95	285.289.293.297	+	1319	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15909302	15910663	95	377	+	1866	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6728870	95	213.209.205	-	1136	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15964255	15967411	95	401	-	2178	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6802127	6896022	95	237	-	798	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15891112	95	345.341.337	-	940	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15894275	15900101	95	357.353	-	943	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6681978	6706793	95	201.205	+	682	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16024238	16094054	95	449.445.437.433.429.425	-	846	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16012932	16016156	95	417	-	756	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15747181	15772296	95	297.301.305.309	+	1759	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15846297	95	317.321.325.329.333.337	+	1084	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	95	249	+	802	126
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	168	169	+	808	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15738763	168	285	+	1011	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16064653	16081552	168	437	+	977	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15700821	168	261.265.269.273	+	556	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5735381	5813617	168	177.181	+	103	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	168	185	-	834	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5822690	5825040	168	189	+	43	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16123711	168	457.453.449.445	-	887	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	168	229.225.221.217.213.209.205	-	1128	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15901487	15967411	168	401.397.389.385.381.377.373.369.365	-	1800	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6772375	6782872	168	229	-	1350	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16094709	16123711	168	457	+	808	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	168	193	+	830	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	168	185	-	834	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15793694	168	325	+	2476	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	15904998	168	357.361.365	+	1683	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16024238	16030830	168	425	-	770	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16012932	16016156	168	417	-	756	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15747181	15772296	168	297.301.305.309	+	1759	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15846297	168	317.321.325.329.333.337	+	1084	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	168	249	+	802	29
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	211	169	+	808	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15772296	211	285.289.293.297.301.305.309	+	1713	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15967411	211	317.321.325.329.333.337.341.345.349.353.357.361.365.369.373.377.381.385.389.397.401	+	2035	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6682645	6782872	211	205.209.213.217.221.225.229	+	1251	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16081552	16123711	211	445.449.453.457	+	784	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	211	193	+	830	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	211	185	-	834	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15793694	211	325	+	2476	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	15900101	211	357	+	1669	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15834730	15846297	211	337	+	990	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	211	249	+	802	101
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	214	169	+	808	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15766296	214	285.289.293.297	+	1319	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15909302	15910663	214	377	+	1866	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6708791	6728870	214	213	-	1209	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15786600	214	317	+	1828	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16030830	16061901	214	429	-	965	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15904998	15908168	214	369	+	1920	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15947646	16000298	214	397.401.405.409	+	1313	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15586084	15642668	214	269.265.261	-	1072	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6772375	6782872	214	229	-	1350	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16094709	16123711	214	457	+	808	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5825040	5831928	214	193	+	830	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5813617	5822690	214	185	-	834	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15790050	15793694	214	325	+	2476	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15898449	15904998	214	357.361.365	+	1683	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16024238	16030830	214	425	-	770	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16012932	16016156	214	417	-	756	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15747181	15772296	214	297.301.305.309	+	1759	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15772360	15846297	214	317.321.325.329.333.337	+	1084	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	6897385	6911323	214	249	+	802	12
CHP126_01012021	hg19	decoil_v108_01072023	chr2	5726690	5731122	274	169	+	808	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15732146	15738763	274	285	+	1011	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16064653	16093241	274	437.445	+	1000	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	15747181	15767040	274	301.297	-	1678	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16012932	16016156	274	417	+	756	105
CHP126_01012021	hg19	decoil_v108_01072023	chr2	16024238	16081552	274	425.429.433.437	+	908	105
